Time(s),CH1(V),CH2(V),CH3(V)
2.4228E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.4328E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.4428E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.4528E-08,4.387144E-02,-6.636036E-02,-8.420880E-01
2.4628E-08,4.387144E-02,-6.636036E-02,-8.420880E-01
2.4728E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.4828E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.4928E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.5028E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.5128E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.5228E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.5328E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.5428E-08,4.387144E-02,-6.636036E-02,-8.507693E-01
2.5528E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.5628E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.5728E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.5828E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.5928E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6028E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6128E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6228E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6328E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6428E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6528E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6628E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
2.6728E-08,4.387144E-02,-4.424024E-02,-8.507693E-01
